KERNELS, 96, 256, 384, 384, 256
CHANNELS, 3, 96, 256, 384, 384
STRIDE, 4, 1, 1, 1, 1
WIDTH, 227, 27, 13, 13, 13
HEIGHT, 227, 27, 13, 13, 13
K, 11, 5, 3, 3, 3
SPARSITY, 0, 0, 0, 0, 0
direct-sum2d, 220245871.113636, 621913193.727273, 80761278.795455, 120202841.431818, 79602283.409091
im2row-scan-ab-ik, 16367782.976744, 57620098.704545, 19922579.279070, 31224529.954545, 20665384.697674
im2row-scan-atbt-ki, 17158580.837209, 59720574.159091, 21183597.590909, 31955185.348837, 21703231.534884
im2row-scan-abt-ik, 17019178.800000, 57705696.772727, 19791000.477273, 29982052.837209, 20398273.418605
im2row-scan-abt-ki, 17542830.022727, 59699944.581395, 20547877.636364, 31445096.681818, 21522924.522727
im2row-copy-short-ab-ik, 16444860.325581, 56186884.931818, 20019420.088889, 31032166.386364, 20442725.250000
im2row-copy-short-atbt-ki, 17056393.162791, 60028679.116279, 21072814.955556, 31678852.627907, 21123242.395349
im2row-copy-short-abt-ik, 16464773.522727, 70816028.533333, 19320581.744186, 29142714.136364, 19516438.476190
im2row-copy-short-abt-ki, 16864555.348837, 64692623.955556, 20083506.818182, 30738441.272727, 20429778.581395
im2col-scan-atb-ik, 21037046.744186, 67318135.886364, 22680384.568182, 34740891.302326, 24050925.558140
im2col-scan-atb-ki, 22918018.045455, 67965250.046512, 23202340.068182, 35181745.704545, 25321346.704545
im2col-scan-atbt-ik, 20698848.744186, 65348298.545455, 22140733.022727, 33778174.279070, 24119000.488889
im2col-scan-ab-ki, 23208729.022222, 67161424.232558, 22597230.613636, 33997930.209302, 24129737.931818
im2col-copy-short-atb-ik, 0.000000, 58446312.477273, 20094486.534884, 30580252.177778, 20835444.090909
im2col-copy-short-atb-ki, 0.000000, 62714494.363636, 21322370.068182, 31506597.930233, 21330862.744186
im2col-copy-short-atbt-ik, 0.000000, 60308249.340909, 19763556.795455, 29771886.325581, 20469606.954545
im2col-copy-short-ab-ki, 0.000000, 60903055.139535, 20924194.340909, 30471365.590909, 20512441.363636
im2col-copy-long-atb-ik, 0.000000, 59928748.681818, 20504224.931818, 31370426.023256, 20561173.181818
im2col-copy-long-atb-ki, 0.000000, 66248336.931818, 20712678.720930, 31543083.068182, 21098790.116279
im2col-copy-long-atbt-ik, 0.000000, 61096486.295455, 19463205.906977, 30785868.068182, 20625189.295455
im2col-copy-long-ab-ki, 0.000000, 66075461.181818, 20154088.720930, 31044322.318182, 20788322.318182
im2col-copy-self-atb-ik, 16557680.558140, 58640145.279070, 19976606.952381, 31222122.704545, 20297021.232558
im2col-copy-self-atb-ki, 18067583.093023, 61592924.886364, 20967710.688889, 32081433.681818, 21152760.418605
im2col-copy-self-atbt-ik, 16921485.133333, 58502501.840909, 19637748.318182, 29796499.909091, 20256633.386364
im2col-copy-self-ab-ki, 18636076.933333, 61485997.244444, 20072192.604651, 30403647.727273, 20525065.238095
mec-row-partition, 19932458.250000, 91320819.750000, 41607049.340909, 64061697.837209, 47813209.266667
mec-col, 20803800.522727, 90346223.454545, 41780044.227273, 64708604.295455, 42926339.627907
kn2row, 0.000000, 72023603.818182, 21050049.069767, 30978072.697674, 20203669.395349
kn2col, 0.000000, 130073529.590909, 24020601.318182, 33152371.325581, 21487304.250000
kn2row-as, 0.000000, 64776027.750000, 20901641.333333, 31796882.704545, 21061481.590909
kn2col-as, 0.000000, 76737108.023256, 21264899.931818, 31087367.000000, 20740486.976744
kn2row-aa-ab, 0.000000, 56473467.767442, 19739331.613636, 29977556.023256, 20293070.045455
kn2row-aa-abt, 0.000000, 56588554.181818, 19672846.477273, 29738191.767442, 20268088.044444
kn2row-aa-atb, 0.000000, 57193900.454545, 20238777.116279, 30950687.250000, 21048985.363636
kn2row-aa-atbt, 0.000000, 57251334.340909, 20611208.045455, 30716824.454545, 20519871.886364
conv-1x1-gemm-ab-ik, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-abt-ik, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-atb-ik, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-atbt-ik, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-ab-ki, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-abt-ki, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-atb-ki, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
conv-1x1-gemm-atbt-ki, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
winograd-2-3-vec-4, 0.000000, 0.000000, 19842692.681818, 30021974.727273, 19760248.500000
winograd-2x2-3x3-vec-4, 0.000000, 0.000000, 16794249.931818, 25747221.023256, 16842632.704545
winograd-3-3-vec-4, 0.000000, 0.000000, 20053487.000000, 30139110.266667, 19849084.250000
winograd-3x3-3x3-vec-4, 0.000000, 0.000000, 19399299.279070, 31238781.727273, 19846896.250000
winograd-2-5-vec-4, 0.000000, 48441649.090909, 0.000000, 0.000000, 0.000000
winograd-2x2-5x5-vec-4, 0.000000, 35471477.977273, 0.000000, 0.000000, 0.000000
winograd-3-5-vec-4, 0.000000, 37583136.511628, 0.000000, 0.000000, 0.000000
winograd-3x3-5x5-vec-4, 0.000000, 27481258.627907, 0.000000, 0.000000, 0.000000
